de5,de 
di4,dì 
di2,dí 
yi1,yī 
yi2,yí 
yi4,yì 
shi4,shì 
bu4,bù 
bu2,bú 
le5,le 
liao3,liǎo 
liao4,liào 
ren2,rén 
wo3,wǒ 
zai4,zài 
you3,yǒu 
you4,yòu 
ta1,tā 
tuo1,tuō 
zhe4,zhè 
zhei4,zhèi 
zhong1,zhōng 
zhong4,zhòng 
da4,dà 
dai4,dài 
lai2,lái 
lai5,lai 
shang4,shàng 
shang3,shǎng 
shang5,shang 
guo2,guó 
ge4,gè 
ge3,gě 
dao4,dào 
shuo1,shuō 
shui4,shuì 
men5,men 
wei4,wèi 
wei2,wéi 
zi3,zǐ 
zi5,zi 
he2,hé 
huo5,huo 
he4,hè 
huo2,huó 
huo4,huò 
hu2,hú 
ni3,nǐ 
chu1,chū 
dao3,dǎo 
ye3,yě 
shi2,shí 
nian2,nián 
de2,dé 
dei3,děi 
jiu4,jiù 
na4,nà 
nei4,nèi 
nuo2,nuó 
nuo4,nuò 
na3,nǎ 
nei3,něi 
yao4,yào 
yao1,yāo 
xia4,xià 
yi3,yǐ 
sheng1,shēng 
hui4,huì 
kuai4,kuài 
hui3,huǐ 
zi4,zì 
zhe5,zhe 
zhao2,zháo 
zhuo2,zhuó 
zhao1,zhāo 
qu4,qù 
zhi1,zhī 
guo4,guò 
jia1,jiā 
jie5,jie 
xue2,xué 
dui4,duì 
ke3,kě 
ke4,kè 
li3,lǐ 
hou4,hòu 
xiao3,xiǎo 
me5,me 
xin1,xīn 
duo1,duō 
tian1,tiān 
er2,ér 
neng2,néng 
hao3,hǎo 
hao4,hào 
hao1,hāo 
dou1,dōu 
du1,dū 
ran2,rán 
mei2,méi 
mo4,mò 
ri4,rì 
yu2,yú 
qi3,qǐ 
qi5,qi 
hai2,hái 
huan2,huán 
fa1,fā 
fa4,fà 
fa5,fa 
cheng2,chéng 
zhi3,zhǐ 
zuo4,zuò 
zuo2,zuó 
zuo1,zuō 
dang1,dāng 
dang4,dàng 
xiang3,xiǎng 
kan4,kàn 
kan1,kān 
wen2,wén 
wu2,wú 
mo2,mó 
kai1,kāi 
kai5,kai 
shou3,shǒu 
yong4,yòng 
zhu3,zhǔ 
xing2,xíng 
hang2,háng 
hang4,hàng 
heng2,héng 
fang1,fāng 
ru2,rú 
qian2,qián 
suo3,suǒ 
ben3,běn 
jian4,jiàn 
xian4,xiàn 
jing1,jīng 
tou2,tóu 
tou5,tou 
mian4,miàn 
gong1,gōng 
tong2,tóng 
tong4,tòng 
san1,sān 
lao3,lǎo 
cong2,cóng 
cong1,cōng 
dong4,dòng 
liang3,liǎng 
chang2,cháng 
zhang3,zhǎng 
zhi4,zhì 
min2,mín 
yang4,yàng 
fen1,fēn 
fen4,fèn 
jiang1,jiāng 
jiang4,jiàng 
wai4,wài 
dan4,dàn 
shen1,shēn 
xie1,xiē 
xie5,xie
yu3,yǔ 
yu4,yù 
gao1,gāo 
jin4,jìn 
ba3,bǎ 
ba4,bà 
fa3,fǎ 
ci3,cǐ 
hui2,huí 
er4,èr 
mei3,měi 
dian3,diǎn 
yue4,yuè 
ming2,míng 
qi2,qí 
ji1,jī 
zhong3,zhǒng 
quan2,quán 
ji3,jǐ 
hua4,huà 
r5,r 
zhe3,zhě 
